id|Condition|File|Stim|Display_Time
69|1_sent|115.txt|EVEN WHEN AMY GOT OLDER SHE ALWAYS SLEPT WITH HER TEDDY BEAR|2800
70|1_sent|049.txt|IT WAS A WARM DAY AND SO MELISSA WENT TO THE BEACH|2800
71|1_sent|075.txt|FOR TWO YEARS THE LANDLORD HAS BEEN PROMISING TO REPAIR THE ROOF|2800
72|1_sent|061.txt|IN THE SPRING THE FARMER BUILT A BARN AND BOUGHT SEVERAL COWS|2800
73|1_sent|088.txt|UNTIL THE BRICKLAYERS FINISH THE SECOND FLOOR THE PROJECT CAN'T MOVE ON|2800
74|1_sent|077.txt|THE WAITER GOT A LARGE TIP FROM THE CUSTOMER BY THE WINDOW|2800
75|1_sent|063.txt|MARK WAS SELLING HIS OLD MERCEDES HOPING TO BUY A SMALL SAIL-BOAT|2800
76|1_sent|103.txt|THE BABY KEPT CRYING AND THE NANNY DIDN'T KNOW WHAT WAS WRONG|2800
77|1_sent|117.txt|MONICA WAS DOING GYMNASTICS FOR YEARS BUT DECIDED NOT TO PURSUE IT|2800
78|1_sent|116.txt|MILES GOT UP VERY EARLY AND HAD HIS COFFEE ON THE TERRACE|2800
79|1_sent|102.txt|ACCORDING TO PAUL GREECE WAS THE BEST VACATION PLACE HE EVER VISITED|2800
80|1_sent|062.txt|JUDITH HAS BEEN DATING BRIAN FOR THREE YEARS WHEN SHE GOT PREGNANT|2800
